DateTime,Players,Final price,Discount,Time Since Release
2018-11-02 00:00:00,122565.0,59.99,0.0,7344000.0
2018-11-03 00:00:00,107612.0,59.99,0.0,7430400.0
2018-11-04 00:00:00,95955.0,59.99,0.0,7516800.0
2018-11-05 00:00:00,79920.0,59.99,0.0,7603200.0
2018-11-06 00:00:00,73063.0,59.99,0.0,7689600.0
2018-11-07 00:00:00,64726.0,59.99,0.0,7776000.0
2018-11-08 00:00:00,60277.0,59.99,0.0,7862400.0
2018-11-09 00:00:00,59263.0,59.99,0.0,7948800.0
2018-11-10 00:00:00,61493.0,59.99,0.0,8035200.0
2018-11-11 00:00:00,54562.0,59.99,0.0,8121600.0
2018-11-12 00:00:00,47688.0,59.99,0.0,8208000.0
2018-11-13 00:00:00,46535.0,59.99,0.0,8294400.0
2018-11-14 00:00:00,45110.0,59.99,0.0,8380800.0
2018-11-15 00:00:00,43282.0,59.99,0.0,8467200.0
2018-11-16 00:00:00,60365.0,59.99,0.0,8553600.0
2018-11-17 00:00:00,57294.0,59.99,0.0,8640000.0
2018-11-18 00:00:00,51704.0,59.99,0.0,8726400.0
2018-11-19 00:00:00,43652.0,59.99,0.0,8812800.0
2018-11-20 00:00:00,40884.0,59.99,0.0,8899200.0
2018-11-21 00:00:00,41220.0,59.99,0.0,8985600.0
2018-11-22 00:00:00,70379.0,39.59,0.3400566761126854,9072000.0
2018-11-23 00:00:00,64115.0,39.59,0.3400566761126854,9158400.0
2018-11-24 00:00:00,65946.0,39.59,0.3400566761126854,9244800.0
2018-11-25 00:00:00,63057.0,39.59,0.3400566761126854,9331200.0
2018-11-26 00:00:00,55090.0,39.59,0.3400566761126854,9417600.0
2018-11-27 00:00:00,53860.0,39.59,0.3400566761126854,9504000.0
2018-11-28 00:00:00,53302.0,59.99,0.0,9590400.0
2018-11-29 00:00:00,51687.0,59.99,0.0,9676800.0
2018-11-30 00:00:00,79051.0,59.99,0.0,9763200.0
2018-12-01 00:00:00,76826.0,59.99,0.0,9849600.0
2018-12-02 00:00:00,71226.0,59.99,0.0,9936000.0
2018-12-03 00:00:00,60492.0,59.99,0.0,10022400.0
2018-12-04 00:00:00,57846.0,59.99,0.0,10108800.0
2018-12-05 00:00:00,54307.0,59.99,0.0,10195200.0
2018-12-06 00:00:00,53858.0,59.99,0.0,10281600.0
2018-12-07 00:00:00,54965.0,39.59,0.3400566761126854,10368000.0
2018-12-08 00:00:00,59585.0,39.59,0.3400566761126854,10454400.0
2018-12-09 00:00:00,56848.0,59.99,0.0,10540800.0
2018-12-10 00:00:00,49599.0,59.99,0.0,10627200.0
2018-12-11 00:00:00,52550.0,59.99,0.0,10713600.0
2018-12-12 00:00:00,50475.0,59.99,0.0,10800000.0
